candidate,perf_status,quality_status,quality_policy,promotable,case,width,height,avg_wall_ms,baseline_avg_wall_ms,wall_delta_pct,speedup,avg_pass_count,baseline_avg_pass_count,pass_count_delta,threadgroup,diffusion_group_size,scanner_image_storage,blur_backend,blur_downsample,intermediate_precision,diffusion_cluster_sigma,halation_grouped_tail,scanner_mps,grain_blur_recurrence,dir_tail_backend,source_format,destination_format,host_layout
baseline,OK,PASSED,exact,1,default-final,1920,1080,15.494,15.494,0.0,1.0,5.0,5.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,production-grain,1920,1080,45.849,45.849,0.0,1.0,11.0,11.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,enlarged-production-grain,1920,1080,48.065,48.065,0.0,1.0,12.0,12.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,production-grain-no-sublayers,1920,1080,26.487,26.487,0.0,1.0,9.0,9.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,production-grain-no-blur,1920,1080,20.725,20.725,0.0,1.0,7.0,7.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,auto-exposure,1920,1080,9.005,9.005,0.0,1.0,4.0,4.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,halation-only,1920,1080,22.933,22.933,0.0,1.0,21.0,21.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,halation-boost,1920,1080,24.2,24.2,0.0,1.0,24.0,24.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,camera-diffusion-only,1920,1080,350.167,350.167,0.0,1.0,60.0,60.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,print-diffusion-only,1920,1080,350.294,350.294,0.0,1.0,61.0,61.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,dir-only,1920,1080,35.449,35.449,0.0,1.0,8.0,8.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,scanner-only,1920,1080,7.082,7.082,0.0,1.0,9.0,9.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,scanner-glare,1920,1080,10.735,10.735,0.0,1.0,9.0,9.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,all-effects,1920,1080,499.047,499.047,0.0,1.0,83.0,83.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,default-final,3840,2160,58.425,58.425,0.0,1.0,5.0,5.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,production-grain,3840,2160,183.674,183.674,0.0,1.0,11.0,11.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,enlarged-production-grain,3840,2160,200.136,200.136,0.0,1.0,12.0,12.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,production-grain-no-sublayers,3840,2160,104.962,104.962,0.0,1.0,9.0,9.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,production-grain-no-blur,3840,2160,79.535,79.535,0.0,1.0,7.0,7.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,auto-exposure,3840,2160,33.37,33.37,0.0,1.0,4.0,4.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,halation-only,3840,2160,127.062,127.062,0.0,1.0,21.0,21.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,halation-boost,3840,2160,132.664,132.664,0.0,1.0,24.0,24.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,camera-diffusion-only,3840,2160,2111.191,2111.191,0.0,1.0,60.0,60.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,print-diffusion-only,3840,2160,2110.642,2110.642,0.0,1.0,61.0,61.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,dir-only,3840,2160,268.946,268.946,0.0,1.0,8.0,8.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,scanner-only,3840,2160,27.042,27.042,0.0,1.0,9.0,9.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,scanner-glare,3840,2160,40.63,40.63,0.0,1.0,9.0,9.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,all-effects,3840,2160,2518.49,2518.49,0.0,1.0,83.0,83.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
round2-mixed-dg2-recurrence--downsample-auto-cluster-010-dir-mps,OK,PASSED,report_only,0,default-final,1920,1080,15.315,15.494,-1.155285917129213,1.0116878876918054,5.0,5.0,0.0,auto,2,buffer,custom,auto,float,0.10,0.0,0.0,1.0,mps,float,float,contiguous
